Rank,Name,Country,Established,Academic Staff,Number of Students,Minimum Tuition cost,Volumes in the library,Endowment
1,Massachusetts Institute of Technology,us,1861,1069,11920,50000.0,1351391.0,24600000000.0
2,Harvard University,us,1636,2400,21613,50000.0,14440248.0,50700000000.0
3,Stanford University,us,1885,2323,17529,50000.0,6625926.0,36500000000.0
4,Cornell University,us,1865,1639,26284,50000.0,5270855.0,10700000000.0
6,University of Michigan,us,1817,8189,52065,15000.0,11963205.0,19200000000.0
7,University of Washington,us,1861,5803,50097,10000.0,5328078.0,6620000000.0
8,Columbia University in the City of New York,us,1754,4628,36649,50000.0,10966064.0,14800000000.0
9,University of California Los Angeles,us,1919,7941,48048,12500.0,14166096.0,7700000000.0
10,Yale University,us,1701,5499,12093,50000.0,8788525.0,41400000000.0
11,University of Pennsylvania,us,1740,4793,23374,50000.0,5195303.0,22300000000.0
12,University of WisconsinMadison,us,1848,2220,48557,10000.0,4743387.0,4000000000.0
13,The University of Texas at Austin,us,1883,3254,52384,10000.0,5210114.0,19720000000.0
14,University of Chicago,us,1891,2859,18452,50000.0,5562134.0,10400000000.0
15,Princeton University,us,1746,1068,8478,50000.0,7823350.0,35800000000.0
16,University of Minnesota Twin Cities,us,1851,4823,54890,15000.0,4133437.0,5366000000.0
17,Purdue University,us,1869,2974,52211,7500.0,953952.0,4099999999.9999995
18,University of California Davis,us,1905,2175,40848,12500.0,2197043.0,2000000000.0
19,University of Toronto,ca,1827,3246,64218,2500.0,N/D,2500000000.0
20,University of California San Diego,us,1960,10810,43381,12500.0,1461384.0,1360000000.0
22,New York University,us,1831,9835,59144,50000.0,3071277.0,6700000000.0
23,Penn State University,us,1855,8002,89816,17500.0,3325427.0,4500000000.0
24,University of Florida,us,1853,8231,54814,5000.0,4369176.0,2337000000.0
25,Michigan State University,us,1855,5703,52089,15000.0,3653771.0,4400000000.0
26,University of Southern California,us,1880,4767,49318,50000.0,3461030.0,7600000000.0
27,University of North Carolina at Chapel Hill,us,1789,4234,32234,7500.0,3876572.0,5100000000.0
28,Carnegie Mellon University,us,1900,1483,16335,50000.0,665370.0,3000000000.0
29,The University of British Columbia,ca,1908,5696,44882,5000.0,N/D,1940000000.0
30,Arizona State University,us,1885,5300,57144,10000.0,2432432.0,1590000000.0
31,Duke University,us,1838,3982,16780,50000.0,3411287.0,12700000000.0
32,University of Maryland,us,1856,4474,40792,10000.0,2159225.0,2100000000.0
33,Rutgers The State University of New Jersey,us,1766,4314,68942,15000.0,1756429.0,1990000000.0
34,University of Illinois UrbanaChampaign,us,1867,2548,59238,17500.0,5879486.0,3380000000.0
35,The Ohio State University,us,1870,7310,60046,10000.0,4273687.0,7900000000.0
36,University of Colorado Boulder,us,1876,3547,37153,12500.0,3089850.0,2100000000.0
37,Texas A&M University,us,1876,3845,72982,10000.0,2121425.0,17220000000.0
38,The University of Arizona,us,1885,3385,53187,10000.0,2454980.0,1290000000.0
39,University of California Irvine,us,1965,5343,37297,12500.0,1757187.0,795890000.0
40,Northwestern University,us,1851,4018,22801,50000.0,2848930.0,13700000000.0
41,University of Virginia,us,1819,3265,25944,17500.0,3491094.0,13600000000.0
42,Boston University,us,1869,4309,37557,50000.0,1304308.0,3500000000.0
43,North Carolina State University,us,1887,2464,37873,7500.0,1479212.0,2029999999.9999998
44,The University of Utah,us,1850,4858,35236,7500.0,2636251.0,1640000000.0
45,Indiana University Bloomington,us,1820,2149,48424,10000.0,5138304.0,3320000000.0
46,University of California Santa Barbara,us,1921,2749,26179,12500.0,3848817.0,578760000.0
47,McGill University,ca,1821,3476,39513,2500.0,N/D,1460000000.0
48,Georgetown University,us,1789,1500,19005,50000.0,1839683.0,3600000000.0
49,University of Pittsburgh,us,1787,5396,29927,20000.0,3542833.0,5680000000.0
50,Washington University in St. Louis,us,1853,4415,17012,50000.0,2093702.0,11500000000.0
51,Tufts University,us,1852,1288,13274,50000.0,823755.0,2600000000.0
52,University of NebraskaLincoln,us,1869,1595,23986,7500.0,1757277.0,2270000000.0
53,Virginia Polytechnic Institute and State University,us,1872,1395,36383,12500.0,1229344.0,1700000000.0
55,Brigham Young University,us,1875,1264,35074,5000.0,3936802.0,3080000000.0
56,University of Waterloo,ca,1957,1355,40513,5000.0,N/D,340540000.0
57,Georgia Institute of Technology,us,1885,1309,47961,12500.0,411568.0,2970000000.0
58,University of Georgia,us,1785,3119,40607,10000.0,4229493.0,1820000000.0
59,University of Rochester,us,1850,3253,12160,50000.0,1743680.0,3320000000.0
60,Brown University,us,1764,848,10737,50000.0,2697294.0,7200000000.0
61,California Institute of Technology,us,1891,300,2397,50000.0,276273.0,3600000000.0
62,University of Iowa,us,1847,2296,32199,7500.0,3478289.0,3300000000.0
63,Iowa State University,us,1858,1746,30432,7500.0,1427102.0,1880000000.0
64,Colorado State University,us,1870,1468,33648,10000.0,1196893.0,580500000.0
66,Simon Fraser University,ca,1965,1095,30380,5000.0,N/D,418760000.0
67,George Washington University,us,1821,2663,26457,50000.0,1129492.0,2800000000.0
68,University of Massachusetts Amherst,us,1863,1550,31810,15000.0,2123737.0,579000000.0
69,George Mason University,us,1957,2133,40185,12500.0,1134080.0,189200000.0
70,University of South Florida,us,1956,2253,48732,5000.0,1023168.0,798200000.0
71,Washington State University,us,1890,2261,31471,10000.0,1419196.0,1270000000.0
72,Florida State University,us,1851,2727,43701,5000.0,1717698.0,947000000.0
73,Vanderbilt University,us,1873,4783,13710,50000.0,1933535.0,10200000000.0
74,University of Alberta,ca,1908,4004,43490,5000.0,N/D,1180000000.0
75,Syracuse University,us,1870,1848,22698,50000.0,1570532.0,1900000000.0
76,University of Oregon,us,1876,1992,23202,12500.0,1712818.0,1470000000.0
79,University of Notre Dame,us,1844,1526,13174,50000.0,2293784.0,16620000000.000002
80,Dartmouth College,us,1769,943,6746,50000.0,1587461.0,7900000000.0
81,University of Connecticut,us,1881,4624,32669,17500.0,1408112.0,634000000.0
82,University of Houston,us,1927,3263,46676,7500.0,1591633.0,785770000.0
83,University at Buffalo State University of New York,us,1846,2509,32347,10000.0,1975468.0,1000000000.0
85,University of Illinois Chicago,us,1858,2961,33522,15000.0,1895501.0,803000000.0
86,University of California Riverside,us,1954,1638,26809,12500.0,4524786.0,249870000.0
87,Rice University,us,1891,680,8672,50000.0,1910805.0,7814000000.0
89,University of Central Florida,us,1963,1906,69320,5000.0,1702376.0,228700000.0
90,University of Missouri,us,1839,4215,31041,10000.0,2332981.0,1420000000.0
91,Georgia State University,us,1913,1586,50521,7500.0,1062996.0,170800000.0
92,Northeastern University,us,1898,3049,38760,50000.0,521531.0,1300000000.0
93,University of Calgary,ca,1966,1848,36330,5000.0,N/D,810000000.0
94,University of Kansas,us,1865,1566,13763,10000.0,5906680.0,2360000000.0
95,University of Delaware,us,1743,1328,24221,15000.0,3343094.0,1780000000.0
96,McMaster University,ca,1887,992,37589,2500.0,N/D,628970000.0
97,The University of Tennessee Knoxville,us,1794,1700,38728,12500.0,1562649.0,1010000000.0
99,University of Miami,us,1925,3513,19593,50000.0,1762243.0,1370000000.0
100,University of North Texas,us,1890,3327,46940,10000.0,1402690.0,340800000.0
101,Western University,ca,1878,1432,36205,5000.0,N/D,900000000.0
102,Universit de Montral,ca,1878,7329,66972,1000.0,N/D,278980000.0
103,University of South Carolina,us,1801,1604,38000,12500.0,1756797.0,989000000.0
104,University of Victoria,ca,1963,900,22060,2500.0,N/D,363380000.0
105,Boston College,us,1863,1848,15106,50000.0,1495059.0,3300000000.0
106,Louisiana State University,us,1860,1500,37354,10000.0,2755252.0,664200000.0
107,Florida International University,us,1965,7665,54085,5000.0,1356769.0,276000000.0
108,San Diego State University,us,1897,2135,37539,7500.0,1200643.0,415700000.0
109,Temple University,us,1884,2125,30005,15000.0,1863984.0,839000000.0
111,University of Cincinnati,us,1819,3789,53235,10000.0,2837726.0,1920000000.0
112,Clemson University,us,1889,2103,28747,15000.0,721652.0,994000000.0
113,University of New Hampshire,us,1866,997,14784,17500.0,992229.0,475100000.0
114,Rochester Institute of Technology,us,1829,1547,20570,50000.0,312388.0,1274000000.0
115,University of Vermont,us,1791,4125,14088,17500.0,1179730.0,896000000.0
116,Utah State University,us,1888,1101,28900,7500.0,1238984.0,538400000.0
118,Queen's University,ca,1841,3925,33842,5000.0,N/D,980000000.0
120,Case Western Reserve University,us,1826,1182,12475,50000.0,1184207.0,2397000000.0
121,Fordham University,us,1841,747,16556,50000.0,1099406.0,972000000.0
122,Virginia Commonwealth University,us,1838,3279,28919,15000.0,1357099.0,2720000000.0
123,The University of Oklahoma,us,1890,3752,34523,7500.0,4359162.0,1810000000.0
124,Oklahoma State University,us,1890,1337,26805,7500.0,1977786.0,1004000000.0
125,The University of Alabama,us,1831,1986,39622,10000.0,2070476.0,1220000000.0
127,West Virginia University,us,1867,1870,24200,7500.0,1233721.0,583920000.0
128,Portland State University,us,1946,1951,21040,7500.0,1071878.0,678300000.0
129,Auburn University,us,1856,1432,34195,10000.0,1660975.0,1100000000.0
130,Rensselaer Polytechnic Institute,us,1824,488,8142,50000.0,257853.0,598030000.0
131,University of Ottawa,ca,1848,2911,48800,5000.0,N/D,222390000.0
132,Tulane University,us,1834,1200,14027,50000.0,1829754.0,2109999999.9999998
133,The University of Tennessee at Martin,us,1927,835,6873,7500.0,280228.0,51000000.0
134,Carleton University,ca,1942,5328,30760,5000.0,N/D,250149999.99999997
135,University of Alabama at Birmingham,us,1969,3096,24259,7500.0,909616.0,1000000000.0
136,Wayne State University,us,1868,2320,23964,15000.0,1561853.0,507000000.0
137,University at Albany State University of New York,us,1844,675,16658,10000.0,1281987.0,100900000.0
138,Southern New Hampshire University,us,1932,161,3913,15000.0,97859.0,40000000.0
139,Baylor University,us,1845,1167,20824,50000.0,1262208.0,1970000000.0
140,University of Arkansas,us,1871,1490,32140,7500.0,1053333.0,1700000000.0
141,University of Maryland Baltimore County,us,1966,1288,14148,10000.0,893083.0,167100000.0
142,Texas Tech University,us,1923,2094,40969,10000.0,2988821.0,2230000000.0
143,San Jos State University,us,1857,2179,36062,7500.0,836298.0,250800000.00000003
144,University of North Carolina at Charlotte,us,1946,1456,30298,5000.0,761111.0,344500000.0
145,Mississippi State University,us,1878,1359,22649,7500.0,1973248.0,698200000.0
146,San Francisco State University,us,1899,1822,22029,5000.0,914530.0,161400000.0
148,Dalhousie University,ca,1818,867,20970,7500.0,N/D,471710000.0
150,University of Guelph,ca,1964,830,29923,7500.0,N/D,308010000.0
151,Brandeis University,us,1948,544,5302,50000.0,998146.0,1260000000.0
152,University of WisconsinMilwaukee,us,1885,684,22937,7500.0,255496.0,323000000.0
153,Southern Methodist University,us,1911,1151,12116,50000.0,1548747.0,2120000000.0
154,Marquette University,us,1881,1200,11200,45000.0,1278386.0,916800000.0
155,Kansas State University,us,1863,1404,20295,10000.0,1119164.0,952280000.0
156,Kent State University,us,1910,2623,25630,10000.0,1148534.0,301400000.0
157,University of Manitoba,ca,1877,5252,30370,2500.0,N/D,878000000.0
158,University of Nevada Reno,us,1874,1082,20945,7500.0,666944.0,458000000.0
159,Concordia University,ca,1974,4439,49898,2500.0,N/D,238110000.0
160,Stony Brook University,us,1957,3027,25710,10000.0,1445527.0,390500000.0
161,DePaul University,us,1898,862,21348,40000.0,547711.0,907600000.0
162,California State University Northridge,us,1958,2187,36368,5000.0,734260.0,229400000.0
163,University of Denver,us,1864,782,13384,50000.0,1369915.0,1020000000.0
164,Liberty University,us,1971,3810,96709,15000.0,356288.0,2100000000.0
165,College of William & Mary,us,1693,738,9517,20000.0,1193559.0,1500000000.0
166,University of Nevada Las Vegas,us,1957,1000,31142,7500.0,923019.0,388400000.0
168,Florida Atlantic University,us,1961,1600,23683,2500.0,866328.0,285000000.0
170,Michigan Technological University,us,1885,477,7009,17500.0,372947.0,151520000.0
171,The University of Texas at Dallas,us,1969,2784,30885,12500.0,1210008.0,859000000.0
172,California Polytechnic State University San Luis Obispo,us,1901,1469,21497,10000.0,262469.0,285300000.0
173,New Mexico State University,us,1888,2519,21694,5000.0,900976.0,343300000.0
174,Montana State University,us,1893,1370,17144,7500.0,491618.0,264000000.0
175,Quinnipiac University,us,1929,350,9744,50000.0,116951.0,674000000.0
177,Loyola University Chicago,us,1870,784,17159,45000.0,925437.0,1150000000.0
178,University of Rhode Island,us,1892,675,18061,15000.0,934078.0,203000000.0
179,Santa Clara University,us,1851,911,9178,50000.0,562054.0,1470000000.0
181,Northern Arizona University,us,1899,1115,28194,10000.0,574260.0,198200000.0
182,Indiana UniversityPurdue University Indianapolis,us,1969,2500,29390,10000.0,2584030.0,1150000000.0
183,Universit du Qubec  Montral,ca,1969,3267,39427,1000.0,N/D,198200000.0
184,University of Wyoming,us,1886,1002,10813,5000.0,1580593.0,776100000.0
185,University of Louisville,us,1798,1787,23225,10000.0,464874.0,918000000.0
186,University of MissouriKansas City,us,1933,661,15327,10000.0,820086.0,204140000.0
187,Swarthmore College,us,1864,207,1699,50000.0,695831.0,2700000000.0
188,Binghamton University State University of New York,us,1946,768,18454,10000.0,1694157.0,180000000.0
189,The University of Maine,us,1865,578,10878,10000.0,1598021.0,444900000.0
193,Bowling Green State University,us,1910,1982,20395,12500.0,858757.0,155700000.0
194,Middle Tennessee State University,us,1911,1223,20488,7500.0,658925.0,108900000.0
196,University of Maryland Baltimore,us,1807,2321,6239,10000.0,246706.0,1500000000.0
197,Western Michigan University,us,1903,751,17605,12500.0,1513540.0,640200000.0
199,The New School,us,1919,2230,10186,50000.0,288816.0,393500000.0
200,Nova Southeastern University,us,1964,1676,20576,30000.0,520098.0,185000000.0
